Year,GDP_gr
1961,3.722742533
1962,2.931127737
1963,5.994353261
1964,7.452950122
1965,-2.63577011
1966,-0.05532877
1967,7.82596303
1968,3.387929176
1969,6.539700296
1970,5.157229736
1971,1.642930384
1972,-0.553301312
1973,3.295521135
1974,1.18533626
1975,9.149912015
1976,1.663103637
1977,7.254764586
1978,5.712532089
1979,-5.238182703
1980,6.735821528
1981,6.006203624
1982,3.47573324
1983,7.288892901
1984,3.820737856
1985,5.254299223
1986,4.77656417
1987,3.965355634
1988,9.62778292
1989,5.947343328
1990,5.533454563
1991,1.056831433
1992,5.482396022
1993,4.75077622
1994,6.658924067
1995,7.57449184
1996,7.549522249
1997,4.049820849
1998,6.184415821
1999,8.845755561
2000,3.840991157
2001,4.823966264
2002,3.803975321
2003,7.860381476
2004,7.922936613
2005,7.923430621
2006,8.060732573
2007,7.660815065
2008,3.08669806
2009,7.861888833
2010,8.497584702
2011,5.241315001
2012,5.456388753
2013,6.386106401
2014,7.410227605
2015,7.996253786
2016,8.256305502
2017,6.795383419
2018,6.532989011
2019,4.041554187
2020,-7.251754782
